报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2006-12-31,2005-12-31,
流动比率(%),1.61,1.75,1.92,1.96,2.11,1.46,1.53,1.52,1.55,1.56,1.73,1.83,1.78,1.78,2.14,2.17,2.27,2.21,2.38,2.32,3.07,2.3,2.33,2.2,2.54,2.42,2.61,2.86,3.24,3.67,4.08,2.57,--,1.54,1.68,1.47,1.58,1.59,1.46,1.31,1.57,1.48,
速动比率(%),0.9,1.04,1.21,1.27,1.42,0.89,0.94,0.94,0.87,0.87,0.98,1.12,0.98,1.03,1.22,1.32,1.45,1.55,1.71,1.72,2.39,1.6,1.58,1.45,1.68,1.61,1.83,2.13,2.51,2.97,3.47,1.98,--,1.1,1.16,0.97,1.03,1,0.94,0.88,0.99,0.95,
现金比率(%),27.51,39.8,44.01,56.49,67.62,17.62,19.47,22.09,14.45,13.49,14.93,26.52,17.4,19.41,18.69,36.15,44.11,50.62,70.1,80.6,110.73,37.42,47.22,61.19,84.81,82.3,107.44,149.72,165.44,195.13,228.07,87.84,--,38.88,31.02,35.84,32.38,27,29.01,40.28,43.22,43.64,
利息支付倍数(%),844.64,839.3,267.95,736.52,663.88,608.57,361.38,671.26,734.31,600.43,380.31,1083.72,1275.32,1222.17,561.06,15252.82,5840.21,14255.77,1534.16,3036.07,4059.62,3246.68,2766.72,7116.21,4728.97,4667.97,3172.88,161896.64,2221.83,2108.47,1082.87,1378.89,1444.8,1415.78,668.51,1081.87,1461.13,1493.47,1788.26,1683.18,1772.74,1900.05,
资产负债率(%),55.6,52.03,50.34,48.57,50.17,53.06,52.5,51.5,51.98,51.5,50.06,49.46,50.66,51.12,48.07,48.59,48.41,48.73,48.22,48.53,49.37,59.7,59.85,61.86,54.87,55.17,54.52,53.51,50.66,44.68,43.49,65.2,--,56.59,57.37,58.87,60.58,59.77,57.49,59.71,58.42,60.5,
长期债务与营运资金比率(%),0.19,0.09,0.07,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0.08,0.14,0.14,0.13,0.22,0.23,0.24,0.24,0.24,0.25,0.25,0.55,--,0.26,0.23,0.3,0.25,0.27,0,--,0,0,
股东权益比率(%),44.4,47.97,49.66,51.43,49.83,46.94,47.5,48.5,48.02,48.5,49.94,50.54,49.34,48.88,51.93,51.41,51.59,51.27,51.78,51.47,50.63,40.3,40.15,38.14,45.13,44.83,45.48,46.49,49.34,55.32,56.51,34.8,--,43.41,42.63,41.13,39.42,40.23,42.51,40.29,41.58,39.5,
长期负债比率(%),4.02,2.11,1.77,0.92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,3.24,4.01,4.15,4.03,9.66,10.02,10.67,11.15,12.13,13.96,14.86,23.11,--,6.35,6.72,6.79,6.7,7.19,0,--,0,0,
股东权益与固定资产比率(%),--,253.77,--,243.03,--,199.81,--,201.14,--,327.88,--,315.97,--,358.25,--,348.45,--,346.68,--,337.79,--,247.08,--,251.06,--,408.63,--,376.19,--,659.46,--,245.54,--,239.86,232.54,223.69,236.1,--,210.46,199.36,--,--,
负债与所有者权益比率(%),125.21,108.48,101.38,94.45,100.69,113.04,110.54,106.2,108.23,106.2,100.25,97.86,102.66,104.58,92.58,94.52,93.85,95.05,93.11,94.28,97.51,148.14,149.1,162.22,121.6,123.09,119.86,115.11,102.69,80.78,76.96,187.39,--,130.37,134.57,143.16,153.68,148.54,135.21,148.21,140.52,153.17,
长期资产与长期资金比率(%),91.56,90.95,92.13,93.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,102.26,75.82,109.09,110.24,106.56,52.14,49.52,49.22,47.09,42.64,33.4,31.75,53.03,--,62.38,58.87,60.04,60.23,61.42,64.77,--,60.81,69.84,
资本化比率(%),8.29,4.21,3.44,1.75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,6.01,9.04,9.38,9.56,17.63,18.26,19,19.35,19.74,20.15,20.82,39.91,--,12.76,13.62,14.17,14.53,15.17,0,--,0,0,
固定资产净值率(%),--,71.21,--,73.57,--,73.53,--,74.96,--,66.23,--,68.55,--,66.93,--,69.41,--,70.65,--,72.46,--,70.85,--,71.09,--,60.99,--,62.48,--,48.77,--,50.73,--,51.19,51,51.49,49.62,--,51.53,51,--,--,
资本固定化比率(%),99.84,94.95,95.41,94.99,90.37,127.95,128.45,128.75,125.99,126.69,124.36,123.22,121.76,120.41,115.1,112.7,108.19,107.86,103.81,102.26,80.66,119.93,121.65,117.82,63.3,60.58,60.76,58.39,53.13,41.83,40.1,88.25,--,71.51,68.15,69.96,70.47,72.4,64.77,64.91,60.81,69.84,
产权比率(%),86.95,69.33,58.65,52.52,52.37,58.13,53.51,51.08,53.17,50.81,43.95,40.8,45.49,47.16,36.28,37.75,37.73,39.42,37.56,39.63,44.41,65.71,65,76.29,83.74,89.36,84.43,78.87,70.69,63.12,59.81,144,--,117.88,114.56,134.04,133.02,128.61,117.03,139.82,114.37,124.27,
清算价值比率(%),225.17,257.34,290.33,310.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,419.15,379.42,308.98,310.15,279.93,260.49,245.54,255.93,267.72,280.84,279.49,288.44,191.95,--,187.38,195.85,173.41,182.34,184.05,199.54,--,209.51,202.79,
固定资产比重(%),--,18.9,--,21.16,--,23.49,--,24.11,--,14.79,--,16,--,13.64,--,14.75,--,14.79,--,15.24,--,16.31,--,15.19,--,10.97,--,12.36,--,8.39,--,14.17,--,18.1,18.33,18.39,16.7,0,20.2,20.21,0,0,