报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-03-31,
基本每股收益(元),0.18,0.15,0.02,0.23,0.16,0.07,-0.02,0.06,0.04,0,0,0.21,0.18,0.14,0.44,0.36,0.3,0.07,0.47,0.33,0.24,0.05,0.46,0.41,0.35,0.03,0,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.79,4.64,4.56,5.95,5.9,5.85,5.77,2.46,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.02,0.05,-0.13,0.09,-0.05,-0.18,-0.37,0.1,
主营业务收入(万元),21055,29473,15029,17715,10086,12542,5364,8862,6055,8083,6316,6756,9385,7979,8415,5593,8657,5355,9733,5968,9498,5253,5212,5094,9554,3156,2022,
主营业务利润(万元),8262,10887,5494,9041,6190,7250,2322,4374,3610,3430,2648,3428,4600,4217,3917,2773,4788,2741,4510,2696,4045,1940,1710,2314,4262,1464,927,
营业利润(万元),2675,4993,896,2663,3612,3990,-961,861,524,-79,-16,776,2778,1748,676,568,2880,873,1691,1031,2626,452,98,735,2299,211,34,
投资收益(万元),0,23,17,29,1030,36,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
营业外收支净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),3060,5659,1200,3017,3733,4188,-829,660,1260,111,2,899,2816,1804,798,861,2932,928,1744,1137,2734,461,593,824,2346,226,34,
净利润(万元),2607,5198,910,2683,3211,3393,-659,675,1312,89,65,743,2479,1494,882,687,2484,760,1565,949,2285,387,459,686,1995,216,27,
净利润(扣除非经常性损益后)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-10266,-10569,-5896,15245,-2408,-3421,-3338,-5636,-8221,-5537,-3018,-4444,-3086,-1972,5544,-1918,575,1362,5764,230,564,-1114,786,-382,-1538,-2317,616,
现金及现金等价物净增加额(万元),-1914,-722,1581,18438,-968,-7626,-3030,-1505,-7685,-7759,-3285,-12524,-7399,-2628,209,-5384,-2191,589,899,-3692,-2639,-1633,29632,28492,28529,-3424,551,
总资产(万元),155490,145494,133621,126325,78300,73503,70415,70026,68703,67881,72387,68869,67606,68467,67115,63676,62594,64187,61849,57045,55655,57301,56678,54407,54304,21127,--,
流动资产(万元),111025,101258,91642,83994,57192,51012,49059,48606,47534,47233,51626,50208,54149,56671,55667,54008,53928,56719,55064,51339,50552,52793,52679,50726,51922,18831,--,
总负债(万元),44649,37341,29163,36364,12190,10580,9344,10882,9646,10160,10944,10060,9540,10819,10930,8737,8342,11162,9581,6343,5901,7312,7076,5264,5848,5623,--,
流动负债(万元),43845,36322,28184,35477,11544,9921,8598,10111,9506,9313,9940,8958,8491,9772,9915,7704,7416,10245,9288,6298,5854,7260,7031,4947,5531,5297,--,
股东权益不含少数股东权益(万元),108823,106206,104023,89523,65707,62498,60739,58803,58739,57407,61145,58809,58066,57648,56185,54939,54252,53025,52267,50702,49754,49988,49602,49142,48456,15504,--,
净资产收益率加权(%),9.25,5.87,0.92,13.88,9.49,4.47,-1.13,3.56,2.38,0.25,0.11,8.05,6.83,2.62,8.92,7.19,6,1.44,10.18,7.04,5.25,0.78,10.35,10.71,13.49,--,--,