报告期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
营业收入(万元),125747,80893,36906,109147,67136,42229,17901,59178,38926,23742,11107,24532,19085,12786,6604,17501,15280,12207,6316,50254,40823,33610,23062,82350,59902,37983,18157,17622,
营业成本(万元),81376,53575,23727,66722,42522,26697,11626,32795,22095,14441,7736,14895,11090,7305,3836,8791,8069,6308,3222,22765,18254,15065,10615,39202,29219,16942,7569,9058,
营业利润(万元),26229,14372,6285,19105,11661,7170,2030,10738,8044,5170,2094,5924,4769,3355,1709,3879,3515,3098,2109,19377,17483,14624,10292,31362,22805,15482,5777,6986,
利润总额(万元),26863,14746,6745,21845,13998,8235,2789,12304,8415,5280,2039,6944,5327,3485,1799,5090,4297,3317,2125,20191,18107,14739,10394,37532,24891,16911,6640,8264,
所得税费用(万元),2733,1285,976,3445,1848,1232,427,983,1193,767,305,513,464,347,254,794,781,710,283,2829,2996,2737,2215,4882,3657,4243,616,276,
净利润(万元),24130,13460,5769,18400,12150,7003,2362,11321,7222,4513,1734,6431,4864,3139,1545,4297,3516,2607,1842,17362,15111,12002,8179,32651,21234,12667,6024,7987,
基本每股收益,0.26,0.14,0.06,0.23,0.15,0.09,0.03,0.12,0.08,0.05,0.04,0.16,0.13,0.08,0.06,0.16,0.13,0.1,0.14,1.42,1.27,1.08,0.82,3.27,2.12,1.27,0.6,0.8,
货币资金(万元),66734,66186,100199,101259,21599,23544,22574,25229,29320,64417,67374,72383,82497,98721,92556,98826,97039,107904,106007,104809,103360,113142,10952,12992,13097,10116,3404,2307,
应收账款(万元),73012,70639,62162,58007,40307,38646,35342,29647,24594,23002,11085,6917,17707,17763,20615,19562,24760,28537,25699,25676,29924,28615,29373,22844,19187,8495,4899,3602,
存货(万元),86853,56956,41426,34662,39804,42287,39045,37550,36316,35191,21186,24127,27707,26567,20090,20941,19209,18535,19235,21630,25707,27878,30650,38798,43486,16647,4343,4737,
流动资产合计(万元),439693,355516,317321,303138,146186,146565,135242,126246,127777,138756,129498,130974,160660,163863,163558,162954,166894,164150,164062,169722,168539,179427,78035,84681,87164,39474,14473,11659,
固定资产净额(万元),62945,63453,60022,62075,44379,40296,40731,40442,28351,25799,16654,11595,7435,7263,7385,7531,7680,7808,7968,8006,8211,8096,8244,8142,8286,7092,6347,4651,
资产总计(万元),565455,477766,432678,413114,263152,259067,246862,236284,223496,223662,187725,189384,188186,185730,183568,181788,181677,178978,179044,184918,183611,194375,92742,100261,103261,50580,24508,19981,
流动负债合计(万元),201469,123745,75270,61780,48770,51846,38948,37213,28635,33100,9201,12593,15283,14552,12316,12082,13242,11451,9282,16998,17941,25147,30889,46587,61004,29557,9652,10603,
非流动负债合计(万元),6216,6249,6731,6764,5986,5205,5990,6005,6179,6139,320,320,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,46,
负债合计(万元),207686,129994,82001,68544,54756,57051,44939,43218,34814,39239,9521,12913,15283,14552,12316,12082,13242,11451,9282,16998,17941,25147,30889,46587,61004,29557,9652,10649,
所有者权益(或股东权益)合计(万元),357769,347772,350676,344570,208396,202017,201923,193066,188681,184423,178204,176471,172903,171178,171252,169707,168436,167527,169763,167920,165670,169228,61853,53674,42257,21023,14856,9332,
期初现金及现金等价物余额(万元),99967,99967,99967,23427,23427,23427,23427,72220,72220,72220,72220,97683,97683,97683,97683,104809,104809,104809,104809,12022,12022,12022,12022,9018,9018,3275,2079,215,
经营活动产生的现金流量净额(万元),1087,-7241,-8734,-6614,4523,-3664,-1025,-9402,-7866,-6478,-3230,13377,2572,3342,5,10463,8724,8174,1214,-2872,-5198,-2934,-1548,9102,9616,12900,4978,7997,
投资活动产生的现金流量净额(万元),-29310,-25922,5922,-48378,-8871,62,-6169,-38472,-33773,-1102,-2730,-39173,-16242,-1334,-6172,-15078,-14219,-3150,-16,-1226,-705,-305,-254,-3513,-3236,-1920,-2160,-7782,
筹资活动产生的现金流量净额(万元),-7634,-5500,-28,131532,1240,1756,5234,-919,-3292,-1339,0,333,-1667,-1667,0,-2511,-3018,-2904,0,96885,97241,103753,0,-2584,-2591,-5237,-1622,1649,
现金及现金等价物净增加额(万元),-35852,-38663,-2839,76540,-3108,-1845,-1961,-48793,-44931,-8919,-5961,-25463,-15337,341,-6168,-7126,-8513,2120,1198,92787,91338,100513,-1802,3004,3789,5743,1196,1864,
期末现金及现金等价物余额(万元),64114,61304,97128,99967,20318,21581,21466,23427,27288,63301,66259,72220,82347,98025,91516,97683,96296,106929,106007,104809,103360,112535,10221,12022,12807,9018,3275,2079,